Produkt,Kcal,Bia³ko,T³uszcz,Wêglowodany,B³onnik,Sód,Potas,Wapñ,¯elazo,Magnez,Witamina A,Witamina E,Witamina C
Bu³ki i rogale maœlane,329,8,6,62,2,396,133,33,1,20,41,1,0
Cha³ki zdobne,335,7,7,62,2,278,113,15,1,17,41,1,0
Chrupki kukurydziane,355,9,3,79,8,12,206,3,2,65,0,0,0
Musli z owocami suszonymi,328,8,3,72,8,101,564,49,3,93,86,1,3
Musli z rodzynkami i orzechami,378,212,13,63,10,122,443,71,4,136,1,6,1
Otrêby pszenne,187,16,5,62,42,9,1121,119,15,490,0,4,0
P³atki jêczmienne,358,10,4,79,10,651,388,31,4,9,0,0,0
P³atki kukurydziane,366,7,3,84,7,1167,100,8,1,6,0,0,0
P³atki owsiane,369,12,7,69,7,5,379,54,4,129,0,2,0
P³atki pszenne,354,9,3,81,10,644,360,31,3,97,0,0,0
P³atki ¿ytnie,346,6,2,83,12,662,422,28,3,88,0,1,0
Ry¿ preparowany,364,6,2,84,5,3,113,6,1,52,0,1,0
Boæwina,18,2,1,6,4,56,548,97,2,43,670,2,34
Bób,66,8,0,14,6,7,261,60,2,24,28,0,32
Broku³y,27,3,0,5,3,7,385,48,1,23,153,1,83
Brukselka,37,5,1,9,5,10,416,57,1,21,74,1,94
Burak,38,2,0,10,2,52,348,41,2,17,2,0,10
Cebula,31,1,0,7,2,6,121,25,1,8,2,0,6
Chrzan,68,5,1,18,7,7,740,78,1,43,3,0,114
Cukinia,15,1,0,3,1,3,250,15,0,22,34,0,9
Cykoria,21,2,0,4,1,6,237,32,1,15,264,0,10
Czosnek,147,6,1,33,4,17,400,41,2,25,0,0,31
Dynia,28,1,0,8,3,4,278,66,1,14,496,1,8
Fasola bia³a- nasiona suche,290,21,2,62,16,19,1188,163,7,169,0,0,2
Fasola szparagowa,27,2,0,8,4,6,264,65,1,22,63,0,24
Groch- nasiona suche,295,24,1,60,15,30,937,57,5,124,20,0,2
Groszek zielony,76,7,0,17,6,2,353,22,2,29,68,0,34
Kalafior,22,2,0,5,2,26,214,13,1,11,2,0,69
Kalarepa,29,2,0,7,2,8,304,42,1,10,33,0,65
Kapusta bia³a,29,2,0,7,3,19,228,67,0,13,9,2,48
Kapusta czerwona,27,2,0,7,3,11,269,46,1,12,3,2,54
Kapusta pekiñska,12,1,0,3,2,9,150,45,0,15,140,0,27
Kapusta w³oska,38,3,0,8,3,9,306,77,0,16,7,2,60
Koper zielony,27,3,0,6,3,7,396,64,3,14,350,0,31
Kukurydza- kolby,111,4,2,23,3,7,283,6,1,37,9,1,12
Marchew,27,1,0,9,4,82,282,36,1,16,1656,1,3
Ogórek,14,1,0,3,1,11,125,15,0,8,28,0,8
Papryka czerwona,29,1,1,7,2,3,255,13,1,11,528,3,144
Papryka zielona,18,1,0,4,2,2,176,12,1,9,32,3,91
Pietruszka- korzeñ,38,3,1,11,5,49,399,43,1,27,5,2,45
Pietruszka- liœcie,41,4,0,9,4,39,695,193,5,69,902,3,178
Pomidor,15,1,0,4,1,8,282,9,1,8,107,1,23
Por,24,2,0,6,3,6,248,48,1,11,148,1,20
Rabarbar,9,1,0,5,3,2,136,52,1,13,10,0,9
Rzepa,26,1,0,5,4,17,280,40,1,10,10,0,16
Rzodkiewka,14,1,0,4,3,11,236,29,1,7,2,0,21
Sa³ata,14,1,0,3,1,4,134,24,1,9,192,0,13
Seler korzeniowy,21,2,0,8,5,86,320,40,1,19,4,0,8
Seler naciowy,13,1,0,4,2,62,320,41,0,12,10,0,3
Soczewica czerwona- nasiona suche,330,25,3,58,9,2,874,46,6,71,10,0,3
Soczewica- kie³ki,121,9,1,22,3,9,292,29,3,43,5,0,17
Soja- nasiona suche,385,34,20,33,16,1,2132,240,9,216,2,1,0
Soja- kie³ki,142,13,7,10,3,14,484,67,2,72,1,0,15
Szczaw,21,1,1,5,3,14,333,80,2,19,641,0,35
Szczypiorek,30,4,1,4,3,2,252,97,1,26,567,2,41
Szparagi,19,2,0,4,2,2,300,22,1,18,101,2,26
Szpinak,16,3,0,3,3,26,235,93,3,53,707,2,68
Ziemniaki- wczesne,70,2,0,16,1,7,415,4,1,24,1,0,16
Ziemniaki- póŸne,86,2,0,21,2,7,491,4,1,23,1,0,11
Ziemniaki- œrednio,78,2,0,18,2,7,443,4,1,23,1,0,14
Brukselka mro¿ona,36,5,1,8,5,9,359,49,1,18,71,1,63
Fasolka szparagowa- mro¿ona,24,2,0,7,4,5,214,53,1,18,57,0,15
Szpinak mro¿ony,15,2,0,3,2,21,190,75,2,43,636,2,43
Barszcz ukraiñski mro¿ony,28,2,0,7,2,30,256,34,1,13,175,1,13
Marchew z groszkiem mro¿ona,40,3,0,10,4,47,251,26,1,17,1063,0,8
W³oszczyzna krojona w paski mro¿ona,25,1,0,8,4,58,261,32,1,16,680,1,10
Zupa jesienna mro¿ona,28,2,0,7,3,36,241,30,1,12,387,0,17
Zupa kalafiorowa mro¿ona,22,2,0,6,3,30,197,18,1,11,233,0,34
Zupa w³oska mro¿ona,27,2,0,7,3,32,239,20,1,12,481,1,19
Fasola ciêta- konserwowa bez zalewy,17,2,0,5,2,256,124,43,1,12,43,0,3
Fasolka flageolet- konserwowa,62,6,0,15,7,291,299,56,2,36,14,0,4
Groszek zielony- konserwowy bez zalewy,63,5,0,16,6,178,114,40,2,28,42,0,4
Kapusta kwaszona,12,1,0,3,2,260,211,36,1,7,3,0,16
Koncentrat pomidorowy 30%,93,6,2,17,3,30,1072,55,2,51,575,2,38
Ogórek kwaszony,11,1,0,2,1,703,99,18,0,43,17,0,4
Papryka czerwona konserwowa,30,1,2,5,2,291,78,14,3,5,133,1,81
Skrobia ziemniaczana,346,1,0,84,0,5,14,39,1,8,0,0,1
Sos keczup,94,2,1,22,3,962,335,27,1,32,175,2,23
Pieczarka uprawna- œwie¿a,17,3,0,3,2,6,289,11,1,12,2,0,5
Agrest,41,1,0,12,3,2,230,20,1,10,27,1,26
Ananas,54,0,0,14,1,1,220,17,0,15,7,0,15
Arbuz,37,1,0,8,0,1,130,6,0,2,38,0,10
Awokado,161,2,15,7,3,10,600,11,1,39,7,1,8
Banan,96,1,0,24,2,1,395,6,0,33,8,0,9
Brzoskwinia,47,1,0,12,2,3,200,9,1,8,99,1,3
Cytryna,37,1,0,10,2,5,125,40,1,9,1,0,50
Czarne jagody,46,1,1,12,3,1,62,15,1,2,6,2,15
Czereœnie,61,1,0,15,1,2,202,13,0,7,12,0,15
Grejpfrut,37,1,0,10,2,2,277,22,0,12,3,0,40
Gruszka,55,1,0,14,2,2,118,12,0,8,2,0,5
Jab³ko,47,0,4,0,4,12,2,2,134,4,0,3,4
Kiwi,57,1,1,14,2,4,290,25,0,15,7,0,59
Maliny,30,1,0,12,6,2,203,35,1,20,3,0,31
Mandarynki,42,1,0,11,2,1,189,30,0,17,16,0,31
Morele,47,1,0,12,2,1,275,23,1,7,254,1,7
Nektarynka,49,1,0,12,1,1,214,9,1,13,17,2,14
Pomarañcza,44,1,0,11,2,3,183,33,0,12,19,0,49
Porzeczki bia³e,33,1,0,13,6,1,275,30,1,12,0,0,40
Porzeczki czarne,36,1,0,15,8,2,336,39,1,20,14,1,182
Porzeczki czerwone,31,1,0,14,8,2,259,36,1,12,4,0,46
Poziomki,34,1,1,8,2,1,147,28,1,10,2,0,60
Œliwki,46,1,0,12,2,2,208,16,1,8,49,1,5
Truskawki,29,1,0,7,2,1,133,26,1,10,2,0,66
Winogrona,70,1,0,18,2,2,226,17,0,6,3,1,5
Wiœnie,48,1,0,11,1,3,150,13,0,9,40,0,12
Truskawki mro¿one,29,1,0,7,2,1,133,26,1,10,2,0,59
Mieszanka owoców mro¿ona,40,1,0,12,4,2,215,23,1,10,24,0,25
Daktyle suszone,279,2,0,74,9,35,688,70,2,54,7,0,3
Figi Suszone,292,4,1,78,13,44,938,203,3,78,13,0,3
Jab³ka suszone,240,2,1,2,1,62,10,10,665,20,2,15,21
Morele suszone,287,5,1,72,10,5,1666,139,4,42,1307,3,32
Rodzynki suszone,279,2,1,71,7,21,833,78,2,40,2,0,1
Œliwki suszone z pestk¹,269,4,1,69,9,12,804,72,2,36,154,0,6
D¿em morelowy niskos³odzony,159,0,0,39,1,1,121,10,0,3,111,0,1
D¿em truskawkowy niskos³odzony,155,0,0,38,1,1,63,13,0,5,1,0,11
D¿em truskawkowy wysokos³odzony,255,0,0,62,1,1,64,13,0,5,1,0,12
D¿em wiœniowy niskos³odzony,155,0,0,38,0,2,68,6,0,4,18,0,3
D¿em wiœniowy wysokos³odzony,254,0,0,62,1,2,72,7,0,4,19,0,3
Powid³a œliwkowe,216,1,0,53,2,3,346,40,2,18,77,0,3
Oliwki zielone marynowane,126,1,13,4,2,2400,55,61,2,22,30,2,0
Migda³y,577,20,52,21,13,14,778,239,3,269,0,24,6
Orzechy arachidowe,565,26,46,19,7,16,720,58,3,180,0,9,0
Wiórki kokosowe,611,6,63,27,21,28,660,23,4,90,0,1,0
Orzech laskowy,646,14,63,15,9,2,616,186,3,140,5,39,3
Orzechy pistacjowe,594,21,49,25,6,6,1090,135,7,158,23,5,0
Orzechy w³oskie,651,16,60,18,7,4,474,87,2,99,8,3,6
Mak niebieski,482,20.1,42.9,24.7,20.5,6,963,1266,8.1,458,0.0,1.8,0.0
S³onecznik- nasiona,566,24.4,43.7,24.6,6.0,3,793,131,4.2,359,5,27.81,0.0
Cukier,409,0.0,0.0,99.8,0.0,1,2,1,0.0,0,0,0.0,0.0
